Product Number,Name,Brand,Features,Description,Specifications,URL
16,Thermoduct 9mm beugel  450mm - PCTD450,Econox,Merk: Econox; Diameter 450 mm; Gegalvaniseerd staal; Voor Thermoduct ventilatiebuis,Beugel tbv Thermoduct buis Ø450mmDe montagebeugel is onderdeel van het thermoduct leidingssysteem. De beugel heeft een diameter van 470mm en is daarmee geschikt voor de montage van een thermoductbuis van 450mm. De beugel is voorzien van een draaieind ophanging met een M8 bevestigingspunt.,Merk: Econox | Categorie: Thermoduct beugel | GTIN: 8719544286079 | Artikelnummer fabrikant: PCTD450 | Artikelnummer: 10100609,https://www.econox.nl/nl_NL/p/thermoduct-9mm-beugel-450mm-pctd450/16/
21,Thermoduct Zadelstuk 160 mm - 160 mm (90 graden),Econox,Ø 160 - 160 mm; Geschikt voor Thermoduct ventilatiebuis en hulpstukken,Thermoduct geïlsoleerde zadelstuk 90 graden 160 mm met aftakking naar 160 mm voor luchtkanaalsystemen.Voorzien van metalen binnenmantel en thermisch geïsoleerde buitenmantel. Uitermate geschikt voor de aan en afvoer van buitenlucht. Bijvoorbeeld toe te passen bij een WTW installatie of lucht-warmtepomp.Standaard voorzien van afdichtingrubber,Merk: Econox | Categorie: Geïsoleerd zadelstuk | GTIN: 8719544000545 | Artikelnummer fabrikant: 10100803 | Artikelnummer: 10100803,https://www.econox.nl/nl_NL/p/thermoduct-zadelstuk-160-mm-160-mm-90-graden/21/
22,Thermoduct Zadelstuk 125 mm - 125 mm (90 graden),Econox,Ø 125 - 125 mm; Geschikt voor Thermoduct ventilatiebuis en hulpstukken,Thermoduct geïlsoleerde zadelstuk 90 graden 125 mm met aftakking naar 125 mm voor luchtkanaalsystemen.Voorzien van metalen binnenmantel en thermisch geïsoleerde buitenmantel. Uitermate geschikt voor de aan en afvoer van buitenlucht. Bijvoorbeeld toe te passen bij een WTW installatie of lucht-warmtepomp.Standaard voorzien van afdichtingrubber,Merk: Econox | Categorie: Geïsoleerd zadelstuk | GTIN: 8719544000538 | Artikelnummer fabrikant: 10100802 | Artikelnummer: 10100802,https://www.econox.nl/nl_NL/p/thermoduct-zadelstuk-125-mm-125-mm-90-graden/22/
23,Thermoduct Zadelstuk 180 mm - 180 mm (90 graden),Econox,Ø 180 - 180 mm; Geschikt voor Thermoduct ventilatiebuis en hulpstukken,Thermoduct geïlsoleerde zadelstuk 90 graden 180 mm met aftakking naar 180 mm voor luchtkanaalsystemen.Voorzien van metalen binnenmantel en thermisch geïsoleerde buitenmantel. Uitermate geschikt voor de aan en afvoer van buitenlucht. Bijvoorbeeld toe te passen bij een WTW installatie of lucht-warmtepomp.Standaard voorzien van afdichtingrubber,Merk: Econox | Categorie: Geïsoleerd zadelstuk | GTIN: 8719544000552 | Artikelnummer fabrikant: 10100804 | Artikelnummer: 10100804,https://www.econox.nl/nl_NL/p/thermoduct-zadelstuk-180-mm-180-mm-90-graden/23/
24,Thermoduct Zadelstuk 200 mm - 200 mm (90 graden),Econox,Ø 200 - 200 mm; Geschikt voor Thermoduct ventilatiebuis en hulpstukken,Thermoduct geïlsoleerde zadelstuk 90 graden 200 mm met aftakking naar 200 mm voor luchtkanaalsystemen.Voorzien van metalen binnenmantel en thermisch geïsoleerde buitenmantel. Uitermate geschikt voor de aan en afvoer van buitenlucht. Bijvoorbeeld toe te passen bij een WTW installatie of lucht-warmtepomp.Standaard voorzien van afdichtingrubber,Merk: Econox | Categorie: Geïsoleerd zadelstuk | GTIN: 8719544000569 | Artikelnummer fabrikant: 10100805 | Artikelnummer: 10100805,https://www.econox.nl/nl_NL/p/thermoduct-zadelstuk-200-mm-200-mm-90-graden/24/
25,Thermoduct sluitband diameter 250 mm,Econox,,,Merk: Econox | Categorie: Thermoduct sluitband | GTIN: 8719544000576 | Artikelnummer fabrikant: 10101415 | Artikelnummer: 10101415,https://www.econox.nl/nl_NL/p/thermoduct-sluitband-diameter-250-mm/25/
26,Thermoduct sluitband diameter 315 mm,Econox,Merk: Econox; Thermoduct isolatie; Aansluitdiameter 315 mm,"Thermoduct Sluitband - Diameter 315 mmDe Thermoduct Sluitband diameter 315 mm is een essentieel onderdeel voor het afdichten van ventilatie- en luchtkanalen. Het is ontworpen om de luchtstroom te optimaliseren en te zorgen voor een veilige en efficiënte aansluiting van verschillende kanalen. Deze sluitband is speciaal ontwikkeld voor gebruik in ventilatiesystemen en HVAC-installaties, en biedt uitstekende prestaties in verschillende omgevingen. Het product heeft een diameter van 315 mm, wat het ideaal maakt voor een breed scala aan toepassingen.Kenmerken:Precisie afdichting:Biedt een stevige en duurzame afdichting voor ventilatiekanalen, waardoor luchtlekken worden voorkomen.Duurzaam materiaal:Gemaakt van hoogwaardige materialen die bestand zijn tegen hoge temperaturen, corrosie en slijtage.Eenvoudige installatie:Dankzij het flexibele ontwerp is de sluitband gemakkelijk te installeren en aan te passen aan de gewenste afmetingen.Betrouwbare prestaties:Zorgt voor een lange levensduur en constante prestaties in diverse omgevingen, van woningen tot commerciële gebouwen.Veelzijdig gebruik:Ideaal voor ventilatie- en luchtkanalen in HVAC-systemen, met name voor gebruik in zowel residentiële als industriële toepassingen.De Thermoduct Sluitband diameter 315 mm biedt een betrouwbare en efficiënte oplossing voor het afdichten van luchtkanalen, zodat je kunt vertrouwen op een optimaal werkend ventilatiesysteem. Bestel vandaag en profiteer van de uitstekende kwaliteit en duurzaamheid van dit product!",Merk: Econox | Categorie: Thermoduct sluitband | GTIN: 8719544000583 | Artikelnummer fabrikant: 10101416 | Artikelnummer: 10101416,https://www.econox.nl/nl_NL/p/thermoduct-sluitband-diameter-315-mm/26/
27,Thermoduct sluitband diameter 355 mm,Econox,,,Merk: Econox | Categorie: Thermoduct sluitband | GTIN: 8719544000590 | Artikelnummer fabrikant: 10101417 | Artikelnummer: 10101417,https://www.econox.nl/nl_NL/p/thermoduct-sluitband-diameter-355-mm/27/
28,Thermoduct sluitband diameter 400 mm,Econox,,,Merk: Econox | Categorie: Thermoduct sluitband | GTIN: 8719544000606 | Artikelnummer fabrikant: 10101418 | Artikelnummer: 10101418,https://www.econox.nl/nl_NL/p/thermoduct-sluitband-diameter-400-mm/28/
29,Thermoduct sluitband diameter 450 mm,Econox,,,Merk: Econox | Categorie: Thermoduct sluitband | GTIN: 8719544000613 | Artikelnummer fabrikant: 10101419 | Artikelnummer: 10101419,https://www.econox.nl/nl_NL/p/thermoduct-sluitband-diameter-450-mm/29/
30,Thermoduct vlakke horizontale dakdoorvoer diameter 180 tbv hellend dak,Econox,,Thermoduct vlakke horizontale dakdoorvoer Ø180 tbv hellend dakDe thermoduct vlakke horizontale dakdoorvoer Ø 180 mm is geheel uitgevoerd in aluminium. Het dakdoorvoer is geschikt voor aanvoer en afvoer van lucht en geschikt voor WTW installaties. Voor toepassing van de Thermoduct vlakke horizontale dakdoorvoer dient de dakhelling minimaal 45 graden te zijn. De kleur is RAL7016 (antraciet).Het voordeel van deze horizontale dakdoorvoer is dat er in veel gevallen de aan en afvoer van de WTW in het zelfde dakvlak kunnen bevinden.Het aanvragen van een offerte is mogelijk voor bestellingen van minimaal 3 producten en een orderwaarde van €1000 (ex. btw) of hoger. Dit kan via onzeofferte aanvragenpagina.,Merk: Econox | Categorie: Horizontale dakdoorvoeren | GTIN: 8719544080219 | Artikelnummer fabrikant: 10109180 | Artikelnummer: 10109180,https://www.econox.nl/nl_NL/p/thermoduct-vlakke-horizontale-dakdoorvoer-diameter-180-tbv-hellend-dak/30/
32,Thermoduct vlakke horizontale dakdoorvoer diameter 200 tbv hellend dak,Econox,,Thermoduct vlakke horizontale dakdoorvoer Ø200 tbv hellend dakDe thermoduct vlakke horizontale dakdoorvoer Ø 200 mm is geheel uitgevoerd in aluminium. Het dakdoorvoer is geschikt voor aanvoer en afvoer van lucht en geschikt voor WTW installaties. Voor toepassing van de Thermoduct vlakke horizontale dakdoorvoer dient de dakhelling minimaal 45 graden te zijn. De kleur is RAL7016 (antraciet).Het voordeel van deze horizontale dakdoorvoer is dat er in veel gevallen de aan en afvoer van de WTW in het zelfde dakvlak kunnen bevinden.Het aanvragen van een offerte is mogelijk voor bestellingen van minimaal 3 producten en een orderwaarde van €1000 (ex. btw) of hoger. Dit kan via onzeofferte aanvragenpagina.,Merk: Econox | Categorie: Horizontale dakdoorvoeren | GTIN: 8719544000712 | Artikelnummer fabrikant: 10109200 | Artikelnummer: 10109200,https://www.econox.nl/nl_NL/p/thermoduct-vlakke-horizontale-dakdoorvoer-diameter-200-tbv-hellend-dak/32/
33,Thermoduct vlakke horizontale dakdoorvoer diameter 160 tbv hellend dak,Econox,,Thermoduct vlakke horizontale dakdoorvoer Ø160 tbv hellend dakDe thermoduct vlakke horizontale dakdoorvoer Ø 160 mm is geheel uitgevoerd in aluminium. De dakdoorvoer is geschikt voor aanvoer en afvoer van lucht en geschikt voor WTW installaties. Voor toepassing van de Thermoduct vlakke horizontale dakdoorvoer dient de dakhelling minimaal 45 graden te zijn. De kleur is RAL7016 (antraciet).Het voordeel van deze horizontale dakdoorvoer is dat in veel gevallen de aan en afvoer van de WTW zich in hetzelfde dakvlak kunnen bevinden.Het aanvragen van een offerte is mogelijk voor bestellingen van minimaal 3 producten en een orderwaarde van €1000 (ex. btw) of hoger. Dit kan via onzeofferte aanvragenpagina.,Merk: Econox | Categorie: Horizontale dakdoorvoeren | GTIN: 8719544000705 | Artikelnummer fabrikant: 10109160 | Artikelnummer: 10109160,https://www.econox.nl/nl_NL/p/thermoduct-vlakke-horizontale-dakdoorvoer-diameter-160-tbv-hellend-dak/33/
34,Thermoduct geïsoleerde bocht 90 graden diameter 125 mm,Econox,"Ø 125 mm; Luchtdichtheidsklasse D, ATC 2; Thermisch en geluidreducerende oplossing; Kostenbesparend door korte installatietijd","Thermoduct geïsoleerde bocht 90° met een diameter van 125 mmDeze 90° bocht van Thermoduct is voorzien van een galvanisch metalen buis met een buitenmantel van thermisch isolatiemateriaal met een 9 mm gesloten cellen structuur.De Thermoduct geïsoleerde bocht is uitermate geschikt voor aan- en afvoer lucht aansluitingen van bijvoorbeeld WTW-units en luchtbehandelingsinstallaties. De Thermoduct geïsoleerde ventilatiebuis en hulpstukken zijn ontwikkeld en geproduceerd door Econox.Prefab oplossingThermoduct is dé prefab oplossing voor het aanleggen van geïsoleerde, geluidsarme en energiezuinige ventilatie. De 90° bocht is prefab geïsoleerd wat zorgt voor een gemakkelijkere installatie. Dit zorgt tevens voor een kortere installatietijd en is daardoor kostenbesparend.Vermindering van warmteverlies en geen condensvormingThermoduct is een luchtkanalensysteem met een hoogwaardige thermische isolerende mantel. De
mantel zorgt ervoor dat het warmteverlies vermindert wordt en door de dichte celstructuur van 9 mm kan de damp van het water niet overgedragen worden. Thermoduct regelt temperatuurverschillen tussen de binnen- en buitenlucht af, waardoor condensvorming bijna is uitgesloten.InstallatiegemakThermoduct staat voor luchtdichte montage. De Thermoduct producten zijn standaard voorzien van afdichtingsrubber en sluitbanden en hierdoor behalen de Thermoduct hulpstukken luchtdichtheidsklasse D of ATC 2. Dankzij de safe verbinding met rubberen afdichting en de handige dampdichte sluitbanden hoeft er niet afgeplakt te worden. Tevens is de binnenbuis galvanisch behandeld en daardoor eenvoudig te reinigen.GeluidsreductieDankzij de akoestische eigenschappen van de isolerende mantel, word geluid gereduceerd in de ventilatiebuizen, wat zorgt voor een geluidsarm ventilatiesysteem. Hierdoor is het dé oplossing voor installaties die aan de strenge geluidseisen van het Bouwbesluit 2012 (max. 30dB(A)) voldoen.",Merk: Econox | Categorie: Geïsoleerde 90 graden bocht | GTIN: 8719544000750 | Artikelnummer fabrikant: 10112590 | Artikelnummer: 10112590,https://www.econox.nl/nl_NL/p/thermoduct-geisoleerde-bocht-90-graden-diameter-125-mm/34/
35,Thermoduct geïsoleerde bocht 45 graden diameter 125 mm,Econox,"Ø 125 mm; Luchtdichtheidsklasse D, ATC 2; Thermisch en geluidreducerende oplossing; Kostenbesparend door korte installatietijd","Thermoduct geïsoleerde bocht 45° met een diameter van 125 mmDeze 45° bocht van Thermoduct is voorzien van een galvanisch metalen buis met een buitenmantel van thermisch isolatiemateriaal met een 9 mm gesloten cellen structuur.De Thermoduct geïsoleerde bocht is uitermate geschikt voor aan- en afvoer lucht aansluitingen van bijvoorbeeld WTW-units en luchtbehandelingsinstallaties. De Thermoduct geïsoleerde ventilatiebuis en hulpstukken zijn ontwikkeld en geproduceerd door Econox.Prefab oplossingThermoduct is dé prefab oplossing voor het aanleggen van geïsoleerde, geluidsarme en energiezuinige ventilatie. De 45° bocht is prefab geïsoleerd wat zorgt voor een gemakkelijkere installatie. Dit zorgt tevens voor een kortere installatietijd en is daardoor kostenbesparend.Vermindering van warmteverlies en geen condensvormingThermoduct is een luchtkanalensysteem met een hoogwaardige thermische isolerende mantel. De
mantel zorgt ervoor dat het warmteverlies vermindert wordt en door de dichte celstructuur van 9 mm kan de damp van het water niet overgedragen worden. Thermoduct regelt temperatuurverschillen tussen de binnen- en buitenlucht af, waardoor condensvorming bijna is uitgesloten.InstallatiegemakThermoduct staat voor luchtdichte montage. De Thermoduct producten zijn standaard voorzien van afdichtingsrubber en sluitbanden en hierdoor behalen de Thermoduct hulpstukken luchtdichtheidsklasse D of ATC 2. Dankzij de safe verbinding met rubberen afdichting en de handige dampdichte sluitbanden hoeft er niet afgeplakt te worden. Tevens is de binnenbuis galvanisch behandeld en daardoor eenvoudig te reinigen.GeluidsreductieDankzij de akoestische eigenschappen van de isolerende mantel, word geluid gereduceerd in de ventilatiebuizen, wat zorgt voor een geluidsarm ventilatiesysteem. Hierdoor is het dé oplossing voor installaties die aan de strenge geluidseisen van het Bouwbesluit 2012 (max. 30dB(A)) voldoen.",Merk: Econox | Categorie: Geïsoleerde 45 graden bocht | GTIN: 8719544000743 | Artikelnummer fabrikant: 10112545 | Artikelnummer: 10112545,https://www.econox.nl/nl_NL/p/thermoduct-geisoleerde-bocht-45-graden-diameter-125-mm/35/
36,Thermoduct geïsoleerd T-stuk diameter 200 mm - 200 mm (90 graden),Econox,"Ø 200 - 200 mm; Luchtdichtheidsklasse D, ATC 2; Thermisch en geluidreducerende oplossing; Kostenbesparend door korte installatietijd","Thermoduct geïsoleerd T-stuk 90 graden met een diameter van 200 mm en aftakking naar 200 mmDit geïsoleerde T-stuk van Thermoduct is voorzien van een galvanisch metalen buis met een buitenmantel van thermisch isolatiemateriaal met een 9 mm gesloten cellen structuur.Het Thermoduct geïsoleerde T-stuk is uitermate geschikt voor aan- en afvoer lucht aansluitingen van bijvoorbeeld WTW-units en luchtbehandelingsinstallaties. De Thermoduct geïsoleerde ventilatiebuis en hulpstukken zijn ontwikkeld en geproduceerd door Econox.Prefab oplossingThermoduct is dé prefab oplossing voor het aanleggen van geïsoleerde, geluidsarme en energiezuinige ventilatie. Het Thermoduct T-stuk is prefab geïsoleerd wat zorgt voor een gemakkelijkere installatie. Dit zorgt tevens voor een kortere installatietijd en is daardoor kostenbesparend.Vermindering van warmteverlies en geen condensvormingThermoduct is een luchtkanalensysteem met een hoogwaardige thermische isolerende mantel. De
mantel zorgt ervoor dat het warmteverlies vermindert wordt en door de dichte celstructuur van 9 mm kan de damp van het water niet overgedragen worden. Thermoduct regelt temperatuurverschillen tussen de binnen- en buitenlucht af, waardoor condensvorming bijna is uitgesloten.InstallatiegemakThermoduct staat voor luchtdichte montage. De Thermoduct producten zijn standaard voorzien van afdichtingsrubber en sluitbanden en hierdoor behalen de Thermoduct hulpstukken luchtdichtheidsklasse D of ATC 2. Dankzij de safe verbinding met rubberen afdichting en de handige dampdichte sluitbanden hoeft er niet afgeplakt te worden. Tevens is de binnenbuis galvanisch behandeld en daardoor eenvoudig te reinigen.GeluidsreductieDankzij de akoestische eigenschappen van de isolerende mantel, word geluid gereduceerd in de ventilatiebuizen, wat zorgt voor een geluidsarm ventilatiesysteem. Hierdoor is het dé oplossing voor installaties die aan de strenge geluidseisen van het Bouwbesluit 2012 (max. 30dB(A)) voldoen.",Merk: Econox | Categorie: Geïsoleerd T-stuk 90 graden | GTIN: 8719544000767 | Artikelnummer fabrikant: 10113002 | Artikelnummer: 10113002,https://www.econox.nl/nl_NL/p/thermoduct-geisoleerd-t-stuk-diameter-200-mm-200-mm-90-graden/36/
37,Thermoduct geïsoleerd T-stuk diameter 315 mm - 315 mm (90 graden),Econox,"Ø 315 - 315 mm; Luchtdichtheidsklasse D, ATC 2; Thermisch en geluidreducerende oplossing; Kostenbesparend door korte installatietijd","Thermoduct geïsoleerd T-stuk 90 graden met een diameter van 315 mm en aftakking naar 315 mmDit geïsoleerde T-stuk van Thermoduct is voorzien van een galvanisch metalen buis met een buitenmantel van thermisch isolatiemateriaal met een 9 mm gesloten cellen structuur.Het Thermoduct geïsoleerde T-stuk is uitermate geschikt voor aan- en afvoer lucht aansluitingen van bijvoorbeeld WTW-units en luchtbehandelingsinstallaties. De Thermoduct geïsoleerde ventilatiebuis en hulpstukken zijn ontwikkeld en geproduceerd door Econox.Prefab oplossingThermoduct is dé prefab oplossing voor het aanleggen van geïsoleerde, geluidsarme en energiezuinige ventilatie. Het Thermoduct T-stuk is prefab geïsoleerd wat zorgt voor een gemakkelijkere installatie. Dit zorgt tevens voor een kortere installatietijd en is daardoor kostenbesparend.Vermindering van warmteverlies en geen condensvormingThermoduct is een luchtkanalensysteem met een hoogwaardige thermische isolerende mantel. De
mantel zorgt ervoor dat het warmteverlies vermindert wordt en door de dichte celstructuur van 9 mm kan de damp van het water niet overgedragen worden. Thermoduct regelt temperatuurverschillen tussen de binnen- en buitenlucht af, waardoor condensvorming bijna is uitgesloten.InstallatiegemakThermoduct staat voor luchtdichte montage. De Thermoduct producten zijn standaard voorzien van afdichtingsrubber en sluitbanden en hierdoor behalen de Thermoduct hulpstukken luchtdichtheidsklasse D of ATC 2. Dankzij de safe verbinding met rubberen afdichting en de handige dampdichte sluitbanden hoeft er niet afgeplakt te worden. Tevens is de binnenbuis galvanisch behandeld en daardoor eenvoudig te reinigen.GeluidsreductieDankzij de akoestische eigenschappen van de isolerende mantel, word geluid gereduceerd in de ventilatiebuizen, wat zorgt voor een geluidsarm ventilatiesysteem. Hierdoor is het dé oplossing voor installaties die aan de strenge geluidseisen van het Bouwbesluit 2012 (max. 30dB(A)) voldoen.",Merk: Econox | Categorie: Geïsoleerd T-stuk 90 graden | GTIN: 8719544000781 | Artikelnummer fabrikant: 10113004 | Artikelnummer: 10113004,https://www.econox.nl/nl_NL/p/thermoduct-geisoleerd-t-stuk-diameter-315-mm-315-mm-90-graden/37/
